user_id,country,avg_watch_time_minutes
U100200,India,278
U100201,Japan,12
U100202,Brazil,252
U100203,France,176
U100204,UK,31
U100205,UK,246
U100206,Canada,295
U100207,Japan,213
U100208,Australia,66
U100209,India,70
U100210,Germany,41
U100211,Spain,276
U100212,France,67
U100213,Germany,166
U100214,USA,242
U100215,Japan,263
U100216,Spain,95
U100217,France,159
U100218,Germany,231
U100219,France,259
U100220,UK,100
U100221,Japan,65
U100222,Canada,128
U100223,France,76
U100224,France,123
U100225,India,149
U100226,Japan,27
U100227,India,206
U100228,Spain,73
U100229,Germany,44
U100230,India,262
U100231,Japan,240
U100232,India,128
U100233,Australia,148
U100234,USA,208
U100235,UK,21
U100236,Brazil,235
U100237,France,119
U100238,India,275
U100239,Japan,18
U100240,India,91
U100241,France,44
U100242,USA,49
U100243,UK,38
U100244,Germany,147
U100245,Brazil,276
U100246,UK,153
U100247,Japan,234
U100248,Canada,167
U100249,Japan,234
U100250,UK,30
U100251,UK,100
U100252,Canada,134
U100253,India,169
U100254,Germany,198
U100255,Japan,298
U100256,Australia,38
U100257,Australia,67
U100258,Australia,97
U100259,Australia,288
U100260,France,246
U100261,Brazil,233
U100262,Spain,103
U100263,Germany,254
U100264,France,167
U100265,UK,257
U100266,Germany,14
U100267,Spain,137
U100268,UK,23
U100269,Germany,76
U100270,Spain,287
U100271,USA,221
U100272,USA,11
U100273,Spain,162
U100274,France,115
U100275,Australia,84
U100276,Canada,276
U100277,Brazil,66
U100278,Germany,98
U100279,India,74
U100280,Germany,217
U100281,India,173
U100282,Japan,182
U100283,USA,13
U100284,UK,246
U100285,USA,79
U100286,Germany,291
U100287,Canada,254
U100288,France,161
U100289,Germany,271
U100290,Brazil,215
U100291,Brazil,159
U100292,Spain,149
U100293,Germany,286
U100294,Spain,221
U100295,USA,293
U100296,Japan,188
U100297,India,212
U100298,Brazil,146
U100299,UK,79
U100300,Spain,174
U100301,France,160
U100302,Germany,197
U100303,France,234
U100304,Spain,282
U100305,Germany,36
U100306,Japan,271
U100307,Australia,116
U100308,USA,223
U100309,Japan,287
U100310,India,239
U100311,Germany,292
U100312,France,78
U100313,Spain,185
U100314,USA,181
U100315,Brazil,255
U100316,Australia,283
U100317,USA,45
U100318,Spain,102
U100319,Canada,275
U100320,India,254
U100321,Germany,120
U100322,India,155
U100323,Japan,144
U100324,Japan,268
U100325,Spain,85
U100326,Germany,186
U100327,Germany,194
U100328,Canada,68
U100329,USA,174
U100330,Spain,139
U100331,UK,264
U100332,Canada,298
U100333,Brazil,25
U100334,Brazil,285
U100335,Brazil,133
U100336,Brazil,206
U100337,Canada,123
U100338,Japan,229
U100339,Canada,11
U100340,France,113
U100341,USA,257
U100342,USA,21
U100343,France,41
U100344,USA,229
U100345,USA,201
U100346,France,205
U100347,Australia,50
U100348,Japan,225
U100349,France,129
U100350,USA,86
U100351,Brazil,297
U100352,India,38
U100353,Brazil,175
U100354,Spain,41
U100355,Spain,200
U100356,Canada,91
U100357,USA,130
U100358,Japan,272
U100359,USA,113
U100360,Brazil,193
U100361,France,267
U100362,Brazil,181
U100363,Spain,61
U100364,USA,145
U100365,USA,259
U100366,France,110
U100367,Australia,59
U100368,UK,121
U100369,Spain,155
U100370,India,21
U100371,Canada,285
U100372,Australia,138
U100373,Japan,56
U100374,France,95
U100375,Brazil,204
U100376,USA,190
U100377,Germany,164
U100378,France,217
U100379,Spain,194
U100380,France,272
U100381,France,276
U100382,Brazil,223
U100383,Canada,16
U100384,Germany,131
U100385,France,64
U100386,Japan,194
U100387,Canada,234
U100388,Canada,47
U100389,Brazil,110
U100390,USA,221
U100391,Brazil,122
U100392,Australia,146
U100393,India,86
U100394,Canada,50
U100395,Canada,39
U100396,Spain,60
U100397,Spain,60
U100398,France,209
U100399,Brazil,137
U100400,Brazil,59
U100401,Canada,23
U100402,UK,65
U100403,Canada,295
U100404,Japan,201
U100405,Spain,163
U100406,Brazil,31
U100407,UK,229
U100408,UK,217
U100409,Germany,72
U100410,Australia,218
U100411,Germany,73
U100412,France,23
U100413,Japan,209
U100414,Japan,86
U100415,France,136
U100416,Germany,45
U100417,Australia,123
U100418,USA,299
U100419,UK,73
U100420,France,148
U100421,Australia,33
U100422,France,178
U100423,Spain,174
U100424,France,42
U100425,Canada,107
U100426,Brazil,253
U100427,Brazil,164
U100428,USA,255
U100429,UK,275
U100430,Japan,227
U100431,France,63
U100432,Canada,123
U100433,Australia,249
U100434,Brazil,95
U100435,Spain,168
U100436,France,94
U100437,Canada,60
U100438,Canada,47
U100439,Australia,209
U100440,UK,37
U100441,Japan,149
U100442,Australia,44
U100443,Canada,236
U100444,UK,134
U100445,Canada,21
U100446,India,252
U100447,France,122
U100448,UK,186
U100449,UK,299
U100450,USA,42
U100451,Australia,134
U100452,Australia,135
U100453,Japan,46
U100454,Germany,152
U100455,Canada,189
U100456,Japan,154
U100457,UK,90
U100458,Canada,99
U100459,Australia,260
U100460,India,110
U100461,UK,93
U100462,UK,27
U100463,Australia,108
U100464,India,111
U100465,Australia,124
U100466,Brazil,147
U100467,USA,91
U100468,Australia,298
U100469,USA,212
U100470,Japan,181
U100471,USA,177
U100472,Germany,253
U100473,Australia,110
U100474,Canada,121
U100475,France,249
U100476,USA,132
U100477,UK,76
U100478,Germany,189
U100479,India,176
U100480,USA,139
U100481,Japan,265
U100482,Australia,186
U100483,UK,136
U100484,France,189
U100485,Australia,296
U100486,France,296
U100487,Australia,107
U100488,UK,146
U100489,Canada,245
U100490,Australia,143
U100491,Spain,75
U100492,Spain,280
U100493,Australia,198
U100494,France,152
U100495,Spain,42
U100496,France,74
U100497,Japan,138
U100498,Australia,191
U100499,UK,60
U100500,Brazil,118
U100501,Japan,156
U100502,Spain,220
U100503,UK,196
U100504,Japan,268
U100505,Germany,129
U100506,Spain,283
U100507,Japan,216
U100508,USA,253
U100509,Canada,264
U100510,Japan,136
U100511,Japan,76
U100512,France,270
U100513,Spain,219
U100514,France,164
U100515,UK,185
U100516,Spain,11
U100517,Germany,171
U100518,Australia,64
U100519,India,55
U100520,India,175
U100521,Canada,57
U100522,Japan,230
U100523,Germany,144
U100524,UK,143
U100525,Australia,279
U100526,Brazil,91
U100527,Japan,11
U100528,Spain,273
U100529,France,35
U100530,India,99
U100531,USA,275
U100532,Germany,123
U100533,Brazil,273
U100534,Brazil,260
U100535,India,243
U100536,France,256
U100537,USA,249
U100538,USA,52
U100539,India,102
U100540,Germany,223
U100541,Spain,129
U100542,Spain,179
U100543,India,178
U100544,Spain,96
U100545,UK,130
U100546,Japan,204
U100547,Germany,51
U100548,UK,133
U100549,Germany,39
U100550,UK,213
U100551,Germany,139
U100552,Spain,167
U100553,France,33
U100554,Japan,277
U100555,India,212
U100556,UK,64
U100557,France,245
U100558,India,121
U100559,Australia,199
U100560,Spain,238
U100561,Brazil,30
U100562,USA,228
U100563,Germany,147
U100564,Germany,124
U100565,USA,244
U100566,France,58
U100567,India,127
U100568,UK,88
U100569,Germany,127
U100570,France,188
U100571,India,42
U100572,Canada,231
U100573,UK,58
U100574,USA,286
U100575,Canada,120
U100576,France,139
U100577,Spain,229
U100578,Brazil,129
U100579,France,217
U100580,USA,101
U100581,Germany,204
U100582,Germany,57
U100583,France,118
U100584,Germany,279
U100585,Japan,106
U100586,France,160
U100587,Japan,139
U100588,Canada,116
U100589,UK,258
U100590,France,211
U100591,USA,207
U100592,Spain,221
U100593,Germany,76
U100594,India,287
U100595,France,209
U100596,UK,48
U100597,Japan,142
U100598,India,201
U100599,USA,180
U100600,Brazil,37
U100601,Germany,53
U100602,USA,199
U100603,Germany,40
U100604,Canada,138
U100605,USA,272
U100606,Australia,116
U100607,Canada,119
U100608,Spain,33
U100609,Brazil,23
U100610,France,199
U100611,Japan,195
U100612,USA,215
U100613,Spain,159
U100614,Japan,65
U100615,Australia,257
U100616,Germany,241
U100617,UK,221
U100618,Spain,236
U100619,India,64
U100620,Japan,295
U100621,UK,92
U100622,Canada,223
U100623,France,82
U100624,Germany,62
U100625,France,232
U100626,India,229
U100627,Germany,109
U100628,Canada,209
U100629,USA,168
U100630,Canada,256
U100631,India,113
U100632,Brazil,76
U100633,Brazil,242
U100634,Germany,13
U100635,USA,247
U100636,USA,134
U100637,Brazil,73
U100638,Spain,103
U100639,USA,57
U100640,India,97
U100641,Canada,137
U100642,Germany,160
U100643,USA,191
U100644,USA,174
U100645,UK,19
U100646,USA,27
U100647,UK,204
U100648,Germany,234
U100649,UK,207
U100650,Spain,231
U100651,Australia,131
U100652,Germany,110
U100653,Germany,250
U100654,France,80
U100655,Canada,218
U100656,Germany,82
U100657,France,63
U100658,France,172
U100659,Germany,54
U100660,Spain,17
U100661,France,261
U100662,Japan,243
U100663,Australia,79
U100664,Canada,89
U100665,India,113
U100666,Canada,156
U100667,France,238
U100668,Spain,145
U100669,Brazil,228
U100670,Canada,215
U100671,UK,287
U100672,USA,47
U100673,Brazil,159
U100674,USA,290
U100675,Australia,42
U100676,Germany,215
U100677,Australia,272
U100678,India,179
U100679,UK,241
U100680,Canada,289
U100681,India,33
U100682,Canada,226
U100683,France,255
U100684,Brazil,260
U100685,France,138
U100686,Brazil,88
U100687,India,18
U100688,USA,60
U100689,Japan,204
U100690,Brazil,250
U100691,India,96
U100692,Brazil,122
U100693,Canada,54
U100694,UK,90
U100695,Canada,139
U100696,Germany,269
U100697,Japan,25
U100698,Canada,109
U100699,Japan,240
U100700,Canada,100
U100701,USA,86
U100702,USA,250
U100703,Canada,177
U100704,Canada,227
U100705,Spain,63
U100706,Brazil,129
U100707,USA,177
U100708,Germany,178
U100709,Spain,257
U100710,Australia,289
U100711,Australia,221
U100712,Brazil,161
U100713,Canada,51
U100714,Brazil,27
U100715,USA,182
U100716,France,281
U100717,Brazil,106
U100718,UK,73
U100719,Australia,44
U100720,Australia,146
U100721,Australia,42
U100722,Germany,62
U100723,Brazil,270
U100724,Germany,138
U100725,Australia,80
U100726,Japan,96
U100727,Canada,258
U100728,Canada,92
U100729,Brazil,164
U100730,Brazil,214
U100731,Australia,18
U100732,Brazil,18
U100733,Brazil,249
U100734,France,147
U100735,France,232
U100736,Spain,80
U100737,UK,220
U100738,Canada,262
U100739,Spain,47
U100740,Canada,117
U100741,Japan,197
U100742,France,139
U100743,Spain,40
U100744,UK,119
U100745,Canada,185
U100746,France,261
U100747,France,168
U100748,Germany,156
U100749,USA,274
U100750,Spain,56
U100751,France,141
U100752,Canada,205
U100753,Australia,153
U100754,Spain,56
U100755,USA,83
U100756,Germany,216
U100757,Canada,222
U100758,Germany,267
U100759,Japan,36
U100760,Brazil,206
U100761,UK,209
U100762,UK,203
U100763,Brazil,83
U100764,USA,97
U100765,Australia,205
U100766,UK,209
U100767,Australia,44
U100768,Australia,263
U100769,India,224
U100770,UK,186
U100771,Spain,45
U100772,USA,251
U100773,France,145
U100774,UK,107
U100775,Japan,172
U100776,USA,14
U100777,Australia,55
U100778,Brazil,190
U100779,Brazil,101
U100780,Australia,243
U100781,Japan,14
U100782,Australia,281
U100783,France,110
U100784,USA,131
U100785,USA,239
U100786,Brazil,173
U100787,UK,89
U100788,UK,206
U100789,Japan,176
U100790,Spain,112
U100791,Canada,163
U100792,UK,264
U100793,India,152
U100794,Germany,276
U100795,Japan,109
U100796,Australia,111
U100797,Australia,151
U100798,USA,232
U100799,Japan,189
U100800,Australia,211
U100801,UK,284
U100802,Australia,80
U100803,Japan,174
U100804,India,182
U100805,USA,145
U100806,USA,58
U100807,USA,291
U100808,Germany,208
U100809,India,261
U100810,Canada,232
U100811,USA,133
U100812,India,108
U100813,Brazil,18
U100814,Japan,24
U100815,France,35
U100816,Spain,260
U100817,Spain,90
U100818,Germany,56
U100819,Spain,258
U100820,Brazil,13
U100821,Japan,31
U100822,India,83
U100823,France,107
U100824,UK,107
U100825,Spain,226
U100826,Spain,126
U100827,Canada,245
U100828,Germany,202
U100829,Germany,61
U100830,Spain,92
U100831,Australia,60
U100832,Germany,258
U100833,India,79
U100834,India,41
U100835,USA,184
U100836,India,69
U100837,USA,198
U100838,UK,147
U100839,Germany,158
U100840,UK,51
U100841,Brazil,190
U100842,Spain,48
U100843,India,216
U100844,Germany,258
U100845,UK,50
U100846,India,40
U100847,Canada,56
U100848,Japan,205
U100849,Japan,216
U100850,France,182
U100851,Brazil,77
U100852,USA,215
U100853,UK,236
U100854,India,284
U100855,Japan,183
U100856,Spain,283
U100857,Australia,109
U100858,UK,71
U100859,Spain,63
U100860,Australia,61
U100861,Spain,12
U100862,Australia,88
U100863,Australia,21
U100864,Canada,59
U100865,Brazil,224
U100866,Spain,244
U100867,Australia,20
U100868,Spain,58
U100869,Germany,132
U100870,Japan,139
U100871,Japan,228
U100872,UK,235
U100873,UK,188
U100874,Australia,56
U100875,Brazil,297
U100876,Japan,51
U100877,India,239
U100878,India,101
U100879,Brazil,61
U100880,Australia,260
U100881,UK,259
U100882,USA,18
U100883,Spain,95
U100884,Brazil,87
U100885,France,51
U100886,USA,54
U100887,Japan,268
U100888,France,97
U100889,Germany,25
U100890,UK,196
U100891,Japan,247
U100892,Brazil,246
U100893,Canada,264
U100894,USA,87
U100895,Canada,259
U100896,UK,274
U100897,France,16
U100898,USA,78
U100899,Canada,67
U100900,USA,120
U100901,USA,201
U100902,France,11
U100903,France,297
U100904,Japan,240
U100905,Brazil,177
U100906,France,22
U100907,UK,55
U100908,UK,36
U100909,Germany,56
U100910,France,142
U100911,France,258
U100912,Australia,146
U100913,Australia,84
U100914,USA,217
U100915,UK,246
U100916,Germany,49
U100917,Japan,259
U100918,Canada,108
U100919,Germany,142
U100920,USA,244
U100921,Brazil,247
U100922,India,36
U100923,USA,36
U100924,India,142
U100925,Australia,138
U100926,USA,127
U100927,USA,224
U100928,USA,215
U100929,India,36
U100930,USA,55
U100931,India,265
U100932,Brazil,132
U100933,USA,140
U100934,Spain,271
U100935,India,61
U100936,UK,289
U100937,India,203
U100938,UK,100
U100939,Brazil,263
U100940,India,203
U100941,UK,221
U100942,France,250
U100943,Canada,249
U100944,USA,233
U100945,Australia,57
U100946,Brazil,132
U100947,Australia,33
U100948,Japan,90
U100949,Japan,206
U100950,UK,153
U100951,Japan,186
U100952,France,92
U100953,Spain,139
U100954,Spain,51
U100955,India,104
U100956,USA,257
U100957,Canada,154
U100958,Japan,72
U100959,India,54
U100960,USA,73
U100961,India,136
U100962,Brazil,139
U100963,Germany,181
U100964,Germany,281
U100965,Spain,107
U100966,Canada,268
U100967,USA,119
U100968,Australia,50
U100969,USA,164
U100970,Spain,139
U100971,UK,110
U100972,India,168
U100973,India,73
U100974,Japan,30
U100975,Japan,118
U100976,Germany,249
U100977,India,23
U100978,Spain,250
U100979,Brazil,279
U100980,Australia,223
U100981,Japan,221
U100982,Canada,184
U100983,USA,123
U100984,Brazil,219
U100985,Brazil,132
U100986,USA,79
U100987,Canada,184
U100988,Canada,106
U100989,USA,266
U100990,Brazil,28
U100991,UK,12
U100992,USA,98
U100993,Brazil,189
U100994,UK,66
U100995,UK,114
U100996,UK,95
U100997,Canada,40
U100998,Germany,79
U100999,USA,64
U101000,UK,162
U101001,USA,52
U101002,UK,189
U101003,UK,33
U101004,Canada,187
U101005,Spain,295
U101006,USA,98
U101007,Germany,66
U101008,Canada,274
U101009,Germany,121
U101010,France,54
U101011,UK,98
U101012,UK,213
U101013,Germany,288
U101014,Germany,66
U101015,Japan,124
U101016,Brazil,214
U101017,France,290
U101018,India,140
U101019,Japan,94
U101020,Spain,99
U101021,UK,227
U101022,Brazil,163
U101023,Australia,184
U101024,Japan,192
U101025,Germany,176
U101026,France,266
U101027,France,261
U101028,Germany,190
U101029,Brazil,19
U101030,USA,85
U101031,Germany,184
U101032,Spain,42
U101033,France,143
U101034,UK,38
U101035,India,297
U101036,Canada,165
U101037,UK,36
U101038,France,148
U101039,France,232
U101040,Canada,288
U101041,Canada,30
U101042,Spain,39
U101043,Spain,248
U101044,Spain,107
U101045,India,178
U101046,Brazil,131
U101047,Japan,200
U101048,Japan,96
U101049,Spain,110
U101050,India,239
U101051,Japan,62
U101052,Germany,229
U101053,France,177
U101054,USA,211
U101055,Brazil,172
U101056,Australia,97
U101057,Germany,196
U101058,France,229
U101059,Canada,270
U101060,UK,106
U101061,UK,182
U101062,India,119
U101063,Spain,70
U101064,France,200
U101065,Japan,88
U101066,UK,264
U101067,USA,189
U101068,Spain,127
U101069,USA,90
U101070,Canada,210
U101071,USA,95
U101072,Spain,151
U101073,India,20
U101074,Canada,238
U101075,Canada,245
U101076,Australia,254
U101077,Canada,149
U101078,UK,108
U101079,Canada,40
U101080,Germany,198
U101081,Germany,95
U101082,Canada,197
U101083,Spain,37
U101084,India,131
U101085,UK,219
U101086,Spain,257
U101087,Spain,118
U101088,UK,29
U101089,Germany,55
U101090,India,94
U101091,India,67
U101092,Spain,204
U101093,India,119
U101094,France,268
U101095,Australia,41
U101096,Spain,190
U101097,France,22
U101098,Canada,95
U101099,Australia,272
U101100,Canada,215
U101101,Japan,239
U101102,Australia,277
U101103,Canada,38
U101104,Brazil,252
U101105,Spain,46
U101106,Japan,180
U101107,France,248
U101108,USA,23
U101109,France,51
U101110,Australia,129
U101111,Japan,114
U101112,USA,231
U101113,Germany,166
U101114,Germany,72
U101115,Australia,133
U101116,Brazil,130
U101117,Germany,285
U101118,France,28
U101119,Australia,60
U101120,France,66
U101121,Spain,20
U101122,Germany,18
U101123,Spain,200
U101124,USA,33
U101125,Australia,115
U101126,Australia,156
U101127,France,62
U101128,Brazil,70
U101129,Brazil,228
U101130,India,285
U101131,France,16
U101132,Brazil,90
U101133,Australia,166
U101134,India,18
U101135,Spain,32
U101136,Australia,247
U101137,India,31
U101138,Japan,120
U101139,India,253
U101140,UK,192
U101141,Australia,298
U101142,France,129
U101143,Japan,18
U101144,Australia,88
U101145,Spain,119
U101146,France,200
U101147,UK,204
U101148,UK,104
U101149,India,206
U101150,Australia,245
U101151,Spain,264
U101152,Germany,242
U101153,Japan,125
U101154,Germany,136
U101155,Germany,93
U101156,Australia,13
U101157,Australia,80
U101158,India,218
U101159,Australia,138
U101160,Brazil,293
U101161,France,189
U101162,UK,153
U101163,Germany,54
U101164,India,168
U101165,Japan,78
U101166,Germany,107
U101167,Australia,69
U101168,Germany,131
U101169,Spain,142
U101170,Japan,12
U101171,USA,247
U101172,France,63
U101173,Australia,297
U101174,Brazil,39
U101175,India,118
U101176,India,77
U101177,Spain,108
U101178,USA,250
U101179,USA,176
U101180,UK,29
U101181,UK,64
U101182,Australia,159
U101183,Japan,29
U101184,Germany,40
U101185,USA,40
U101186,India,19
U101187,Canada,197
U101188,Japan,130
U101189,Germany,225
U101190,Japan,28
U101191,USA,75
U101192,Japan,24
U101193,Australia,17
U101194,USA,131
U101195,Brazil,42
U101196,Germany,105
U101197,Spain,291
U101198,Australia,194
U101199,Canada,223
U101200,India,109
U101201,USA,137
U101202,Brazil,281
U101203,USA,236
U101204,Japan,84
U101205,USA,157
U101206,France,242
U101207,India,291
U101208,France,209
U101209,France,35
U101210,Germany,62
U101211,Germany,63
U101212,Australia,91
U101213,Brazil,24
U101214,Germany,98
U101215,Canada,10
U101216,USA,42
U101217,India,183
U101218,Spain,96
U101219,Brazil,130
U101220,Spain,292
U101221,USA,170
U101222,Japan,272
U101223,France,136
U101224,Germany,181
U101225,France,232
U101226,USA,10
U101227,India,25
U101228,Brazil,138
U101229,France,12
U101230,Brazil,61
U101231,France,40
U101232,Brazil,198
U101233,Brazil,178
U101234,France,293
U101235,Australia,232
U101236,Brazil,122
U101237,Japan,130
U101238,Germany,293
U101239,Australia,235
U101240,Australia,227
U101241,Australia,54
U101242,Canada,147
U101243,Japan,267
U101244,Spain,225
U101245,Canada,285
U101246,France,266
U101247,France,11
U101248,India,164
U101249,Brazil,117
U101250,Brazil,117
U101251,USA,196
U101252,Germany,239
U101253,Japan,269
U101254,Spain,177
U101255,Germany,112
U101256,Spain,299
U101257,Brazil,289
U101258,Japan,178
U101259,USA,256
U101260,Japan,157
U101261,Canada,132
U101262,USA,41
U101263,Australia,260
U101264,UK,221
U101265,Australia,164
U101266,France,67
U101267,France,26
U101268,Australia,177
U101269,Japan,52
U101270,Australia,144
U101271,Brazil,227
U101272,UK,15
U101273,Canada,177
U101274,Japan,205
U101275,Canada,260
U101276,Australia,90
U101277,France,164
U101278,Germany,226
U101279,Brazil,176
U101280,USA,172
U101281,Spain,274
U101282,UK,182
U101283,Germany,182
U101284,Canada,274
U101285,UK,247
U101286,UK,29
U101287,Japan,162
U101288,Germany,277
U101289,UK,173
U101290,Germany,115
U101291,Japan,27
U101292,UK,211
U101293,Germany,212
U101294,India,25
U101295,Australia,34
U101296,France,93
U101297,Australia,285
U101298,USA,259
U101299,India,149
U101300,Brazil,150
U101301,Brazil,176
U101302,Japan,57
U101303,France,85
U101304,Brazil,202
U101305,Canada,94
U101306,India,230
U101307,Japan,57
U101308,USA,188
U101309,France,123
U101310,Spain,39
U101311,Japan,152
U101312,Spain,191
U101313,Spain,45
U101314,India,18
U101315,India,255
U101316,Japan,211
U101317,Spain,290
U101318,Spain,252
U101319,Japan,26
U101320,Canada,217
U101321,Australia,79
U101322,Australia,264
U101323,India,279
U101324,Canada,25
U101325,France,33
U101326,Canada,284
U101327,Brazil,193
U101328,Spain,174
U101329,Germany,239
U101330,Canada,11
U101331,France,224
U101332,France,99
U101333,Germany,279
U101334,France,14
U101335,Germany,256
U101336,Brazil,41
U101337,Germany,153
U101338,Canada,224
U101339,Japan,183
U101340,Germany,116
U101341,France,47
U101342,India,81
U101343,USA,18
U101344,UK,282
U101345,Brazil,169
U101346,USA,56
U101347,USA,152
U101348,Australia,70
U101349,UK,293
U101350,India,254
U101351,Australia,148
U101352,Spain,277
U101353,India,171
U101354,Spain,148
U101355,Brazil,187
U101356,Brazil,130
U101357,Spain,297
U101358,France,153
U101359,USA,168
U101360,USA,209
U101361,UK,132
U101362,Canada,195
U101363,Japan,286
U101364,Brazil,252
U101365,USA,147
U101366,Canada,42
U101367,France,128
U101368,France,41
U101369,Brazil,43
U101370,Japan,158
U101371,France,53
U101372,USA,207
U101373,UK,236
U101374,USA,15
U101375,France,90
U101376,Brazil,83
U101377,UK,223
U101378,Spain,161
U101379,Japan,259
U101380,USA,203
U101381,USA,260
U101382,Brazil,235
U101383,Germany,21
U101384,Germany,80
U101385,Germany,83
U101386,Germany,146
U101387,India,258
U101388,USA,41
U101389,Germany,215
U101390,Spain,10
U101391,Japan,10
U101392,Australia,161
U101393,Japan,36
U101394,UK,255
U101395,India,61
U101396,Germany,272
U101397,Brazil,128
U101398,Canada,75
U101399,India,276
U101400,Japan,289
U101401,France,209
U101402,UK,107
U101403,USA,152
U101404,USA,174
U101405,Australia,173
U101406,Canada,77
U101407,Japan,206
U101408,Germany,203
U101409,Germany,230
U101410,Australia,231
U101411,Brazil,139
U101412,Australia,183
U101413,Canada,69
U101414,Spain,284
U101415,India,158
U101416,France,144
U101417,Brazil,241
U101418,France,130
U101419,UK,100
U101420,UK,284
U101421,Germany,138
U101422,Brazil,93
U101423,India,79
U101424,Canada,28
U101425,Australia,53
U101426,UK,168
U101427,Brazil,106
U101428,Spain,267
U101429,UK,97
U101430,Australia,152
U101431,Brazil,212
U101432,USA,185
U101433,Canada,78
U101434,Brazil,227
U101435,Germany,68
U101436,UK,190
U101437,India,269
U101438,Japan,161
U101439,Spain,224
U101440,France,128
U101441,Spain,218
U101442,USA,169
U101443,Germany,224
U101444,Brazil,238
U101445,Australia,288
U101446,Germany,171
U101447,Spain,119
U101448,Spain,170
U101449,USA,65
U101450,India,290
U101451,Canada,132
U101452,Spain,168
U101453,USA,187
U101454,Canada,266
U101455,France,16
U101456,France,201
U101457,India,131
U101458,USA,89
U101459,Australia,137
U101460,Japan,75
U101461,Japan,258
U101462,Brazil,236
U101463,Canada,71
U101464,India,96
U101465,Brazil,80
U101466,France,222
U101467,Brazil,77
U101468,USA,40
U101469,Canada,47
U101470,USA,171
U101471,Brazil,45
