user_id,subscription_type,monthly_fee,account_age_months
U100339,Basic,7.99,20
U100340,Premium,7.99,58
U100341,Basic,12.99,59
U100342,Standard,7.99,5
U100343,Basic,7.99,6
U100344,Standard,12.99,13
U100345,Standard,12.99,42
U100346,Standard,15.99,3
U100347,Standard,7.99,53
U100348,Premium,7.99,31
U100349,Basic,12.99,3
U100350,Basic,15.99,8
U100351,Premium,15.99,7
U100352,Premium,7.99,50
U100353,Standard,12.99,46
U100354,Premium,7.99,7
U100355,Premium,7.99,11
U100356,Premium,12.99,24
U100357,Premium,7.99,59
U100358,Standard,12.99,21
U100359,Basic,15.99,20
U100360,Basic,15.99,29
U100361,Standard,15.99,42
U100362,Premium,12.99,10
U100363,Standard,15.99,49
U100364,Standard,7.99,16
U100365,Basic,15.99,10
U100366,Basic,15.99,38
U100367,Basic,7.99,33
U100368,Premium,7.99,58
U100369,Premium,12.99,5
U100370,Basic,15.99,59
U100371,Standard,15.99,12
U100372,Basic,7.99,8
U100373,Premium,12.99,6
U100374,Standard,12.99,23
U100375,Premium,12.99,48
U100376,Premium,12.99,42
U100377,Standard,15.99,3
U100378,Basic,12.99,57
U100379,Basic,15.99,38
U100380,Premium,15.99,29
U100381,Basic,7.99,34
U100382,Basic,12.99,4
U100383,Premium,15.99,7
U100384,Standard,7.99,21
U100385,Standard,7.99,44
U100386,Premium,15.99,10
U100387,Premium,12.99,32
U100388,Premium,12.99,25
U100389,Standard,15.99,13
U100390,Basic,12.99,21
U100391,Premium,7.99,19
U100392,Standard,15.99,59
U100393,Premium,7.99,8
U100394,Standard,15.99,49
U100395,Basic,12.99,40
U100396,Standard,15.99,50
U100397,Basic,15.99,59
U100398,Standard,7.99,20
U100399,Standard,12.99,8
U100400,Premium,12.99,16
U100401,Standard,7.99,48
U100402,Premium,12.99,56
U100403,Standard,7.99,28
U100404,Standard,15.99,10
U100405,Standard,7.99,45
U100406,Basic,12.99,21
U100407,Standard,12.99,54
U100408,Standard,7.99,37
U100409,Basic,15.99,44
U100410,Standard,15.99,15
U100411,Basic,15.99,6
U100412,Standard,12.99,41
U100413,Basic,15.99,35
U100414,Standard,15.99,56
U100415,Standard,15.99,55
U100416,Premium,7.99,21
U100417,Standard,7.99,17
U100418,Standard,12.99,26
U100419,Standard,12.99,10
U100420,Basic,15.99,34
U100421,Premium,12.99,7
U100422,Standard,7.99,32
U100423,Premium,7.99,4
U100424,Basic,12.99,10
U100425,Standard,7.99,39
U100426,Basic,7.99,44
U100427,Standard,7.99,15
U100428,Basic,15.99,56
U100429,Basic,7.99,48
U100430,Basic,15.99,35
U100431,Standard,12.99,33
U100432,Standard,7.99,25
U100433,Premium,7.99,47
U100434,Premium,7.99,47
U100435,Premium,15.99,11
U100436,Premium,15.99,34
U100437,Basic,12.99,36
U100438,Premium,12.99,17
U100439,Premium,15.99,12
U100440,Standard,12.99,16
U100441,Basic,7.99,33
U100442,Basic,15.99,55
U100443,Standard,12.99,26
U100444,Standard,15.99,10
U100445,Premium,15.99,13
U100446,Premium,15.99,18
U100447,Basic,12.99,21
U100448,Standard,15.99,47
U100449,Standard,12.99,42
U100450,Standard,12.99,23
U100451,Basic,7.99,47
U100452,Standard,7.99,23
U100453,Standard,12.99,36
U100454,Basic,7.99,5
U100455,Basic,12.99,39
U100456,Standard,7.99,45
U100457,Standard,15.99,15
U100458,Premium,12.99,24
U100459,Basic,7.99,12
U100460,Standard,15.99,19
U100461,Premium,15.99,33
U100462,Standard,12.99,58
U100463,Premium,12.99,25
U100464,Standard,12.99,50
U100465,Basic,12.99,38
U100466,Premium,7.99,13
U100467,Standard,7.99,24
U100468,Standard,12.99,39
U100469,Standard,15.99,3
U100470,Basic,15.99,53
U100471,Basic,7.99,12
U100472,Basic,7.99,37
U100473,Standard,15.99,2
U100474,Basic,7.99,20
U100475,Standard,15.99,40
U100476,Basic,7.99,34
U100477,Premium,7.99,22
U100478,Standard,7.99,15
U100479,Standard,15.99,33
U100480,Premium,15.99,2
U100481,Standard,15.99,35
U100482,Basic,7.99,34
U100483,Basic,7.99,27
U100484,Basic,7.99,31
U100485,Standard,7.99,13
U100486,Standard,15.99,53
U100487,Standard,7.99,30
U100488,Standard,12.99,26
U100489,Premium,15.99,24
U100490,Basic,15.99,57
U100491,Basic,7.99,1
U100492,Premium,15.99,51
U100493,Basic,7.99,38
U100494,Premium,7.99,38
U100495,Premium,7.99,39
U100496,Premium,7.99,22
U100497,Premium,15.99,10
U100498,Premium,15.99,46
U100499,Standard,7.99,27
U100500,Basic,7.99,42
U100501,Basic,7.99,2
U100502,Premium,12.99,58
U100503,Basic,7.99,19
U100504,Standard,7.99,50
U100505,Standard,7.99,52
U100506,Basic,12.99,11
U100507,Basic,12.99,47
U100508,Standard,12.99,14
U100509,Premium,12.99,57
U100510,Premium,7.99,47
U100511,Standard,15.99,33
U100512,Premium,15.99,44
U100513,Premium,7.99,41
U100514,Standard,12.99,18
U100515,Premium,7.99,29
U100516,Standard,12.99,49
U100517,Standard,7.99,30
U100518,Premium,7.99,3
U100519,Premium,7.99,32
U100520,Standard,12.99,15
U100521,Basic,15.99,49
U100522,Standard,15.99,23
U100523,Standard,7.99,34
U100524,Premium,15.99,46
U100525,Basic,15.99,41
U100526,Premium,15.99,16
U100527,Standard,7.99,50
U100528,Basic,15.99,40
U100529,Standard,7.99,6
U100530,Basic,12.99,16
U100531,Standard,7.99,46
U100532,Standard,7.99,38
U100533,Premium,12.99,20
U100534,Premium,12.99,49
U100535,Standard,15.99,28
U100536,Standard,15.99,26
U100537,Standard,7.99,56
U100538,Basic,7.99,39
U100539,Standard,15.99,48
U100540,Premium,15.99,6
U100541,Standard,12.99,53
U100542,Basic,12.99,45
U100543,Basic,12.99,59
U100544,Basic,12.99,50
U100545,Premium,7.99,16
U100546,Premium,7.99,33
U100547,Basic,7.99,12
U100548,Standard,12.99,14
U100549,Standard,15.99,39
U100550,Standard,7.99,52
U100551,Premium,15.99,2
U100552,Standard,15.99,13
U100553,Standard,12.99,44
U100554,Standard,7.99,19
U100555,Standard,15.99,34
U100556,Basic,7.99,9
U100557,Standard,7.99,31
U100558,Basic,7.99,15
U100559,Premium,7.99,4
U100560,Basic,7.99,47
U100561,Basic,12.99,46
U100562,Premium,7.99,32
U100563,Premium,15.99,17
U100564,Premium,15.99,5
U100565,Basic,7.99,45
U100566,Basic,12.99,39
U100567,Basic,15.99,33
U100568,Basic,15.99,28
U100569,Standard,7.99,13
U100570,Basic,7.99,4
U100571,Premium,7.99,28
U100572,Basic,7.99,13
U100573,Standard,15.99,28
U100574,Premium,15.99,59
U100575,Standard,15.99,45
U100576,Premium,7.99,57
U100577,Premium,12.99,35
U100578,Standard,7.99,40
U100579,Standard,7.99,24
U100580,Basic,12.99,9
U100581,Standard,12.99,7
U100582,Standard,7.99,37
U100583,Standard,15.99,58
U100584,Basic,15.99,36
U100585,Premium,7.99,22
U100586,Basic,12.99,3
U100587,Standard,7.99,8
U100588,Standard,12.99,4
U100589,Basic,15.99,43
U100590,Basic,7.99,42
U100591,Standard,12.99,2
U100592,Premium,12.99,53
U100593,Standard,12.99,46
U100594,Premium,15.99,40
U100595,Premium,15.99,6
U100596,Standard,15.99,57
U100597,Standard,12.99,22
U100598,Standard,12.99,3
U100599,Premium,7.99,17
U100600,Basic,7.99,10
U100601,Standard,12.99,24
U100602,Standard,15.99,47
U100603,Standard,7.99,40
U100604,Standard,15.99,39
U100605,Premium,12.99,28
U100606,Basic,7.99,39
U100607,Premium,7.99,45
U100608,Premium,12.99,30
U100609,Standard,15.99,28
U100610,Premium,12.99,4
U100611,Basic,15.99,18
U100612,Premium,7.99,39
U100613,Standard,7.99,3
U100614,Standard,15.99,46
U100615,Standard,7.99,1
U100616,Premium,7.99,33
U100617,Premium,12.99,16
U100618,Basic,7.99,46
U100619,Basic,12.99,30
U100620,Standard,12.99,58
U100621,Premium,7.99,40
U100622,Standard,7.99,55
U100623,Basic,7.99,33
U100624,Standard,7.99,36
U100625,Premium,12.99,31
U100626,Basic,7.99,36
U100627,Standard,15.99,36
U100628,Basic,7.99,47
U100629,Standard,15.99,48
U100630,Basic,12.99,10
U100631,Standard,15.99,22
U100632,Premium,15.99,28
U100633,Standard,12.99,36
U100634,Standard,7.99,32
U100635,Premium,12.99,46
U100636,Basic,15.99,13
U100637,Standard,15.99,34
U100638,Premium,7.99,1
U100639,Standard,12.99,16
U100640,Standard,15.99,27
U100641,Standard,12.99,22
U100642,Basic,7.99,31
U100643,Standard,12.99,48
U100644,Premium,12.99,29
U100645,Premium,12.99,22
U100646,Basic,15.99,7
U100647,Standard,12.99,55
U100648,Basic,15.99,40
U100649,Premium,7.99,4
U100650,Premium,12.99,14
U100651,Standard,12.99,43
U100652,Basic,15.99,57
U100653,Standard,12.99,17
U100654,Standard,15.99,1
U100655,Standard,15.99,49
U100656,Standard,7.99,2
U100657,Basic,12.99,18
U100658,Standard,7.99,3
U100659,Premium,12.99,56
U100660,Premium,15.99,21
U100661,Premium,15.99,13
U100662,Premium,15.99,49
U100663,Standard,15.99,47
U100664,Basic,7.99,27
U100665,Basic,7.99,58
U100666,Basic,7.99,3
U100667,Standard,15.99,5
U100668,Premium,15.99,57
U100669,Premium,7.99,37
U100670,Premium,7.99,38
U100671,Basic,7.99,48
U100672,Premium,15.99,2
U100673,Standard,7.99,30
U100674,Standard,12.99,6
U100675,Premium,7.99,27
U100676,Standard,7.99,13
U100677,Premium,15.99,5
U100678,Basic,7.99,52
U100679,Standard,12.99,58
U100680,Premium,7.99,25
U100681,Premium,15.99,56
U100682,Basic,7.99,27
U100683,Standard,15.99,16
U100684,Basic,12.99,48
U100685,Standard,7.99,7
U100686,Premium,7.99,52
U100687,Standard,15.99,43
U100688,Standard,15.99,3
U100689,Standard,12.99,15
U100690,Premium,15.99,17
U100691,Premium,12.99,3
U100692,Standard,15.99,2
U100693,Standard,7.99,46
U100694,Standard,15.99,5
U100695,Basic,15.99,24
U100696,Premium,15.99,31
U100697,Basic,7.99,36
U100698,Standard,12.99,44
U100699,Basic,7.99,7
U100700,Premium,12.99,25
U100701,Standard,15.99,43
U100702,Premium,7.99,20
U100703,Premium,15.99,53
U100704,Standard,7.99,25
U100705,Standard,7.99,2
U100706,Premium,15.99,2
U100707,Standard,7.99,10
U100708,Premium,12.99,50
U100709,Basic,15.99,49
U100710,Standard,12.99,6
U100711,Standard,15.99,11
U100712,Standard,15.99,49
U100713,Basic,15.99,29
U100714,Basic,15.99,30
U100715,Premium,15.99,21
U100716,Standard,12.99,27
U100717,Premium,12.99,47
U100718,Basic,7.99,42
U100719,Premium,12.99,36
U100720,Basic,15.99,45
U100721,Basic,15.99,33
U100722,Standard,15.99,47
U100723,Premium,12.99,27
U100724,Premium,7.99,56
U100725,Basic,12.99,37
U100726,Standard,12.99,6
U100727,Basic,7.99,39
U100728,Premium,12.99,8
U100729,Basic,15.99,12
U100730,Basic,12.99,47
U100731,Basic,7.99,3
U100732,Basic,15.99,54
U100733,Standard,7.99,9
U100734,Basic,12.99,43
U100735,Standard,12.99,52
U100736,Premium,12.99,12
U100737,Standard,7.99,40
U100738,Premium,12.99,46
U100739,Basic,12.99,48
U100740,Standard,12.99,3
U100741,Standard,7.99,33
U100742,Standard,7.99,50
U100743,Premium,15.99,13
U100744,Basic,15.99,12
U100745,Premium,15.99,37
U100746,Basic,7.99,7
U100747,Basic,15.99,6
U100748,Standard,15.99,41
U100749,Premium,15.99,4
U100750,Standard,7.99,23
U100751,Premium,15.99,4
U100752,Standard,12.99,3
U100753,Premium,12.99,38
U100754,Premium,12.99,27
U100755,Standard,15.99,11
U100756,Standard,15.99,29
U100757,Basic,7.99,29
U100758,Standard,7.99,37
U100759,Standard,15.99,59
U100760,Premium,15.99,58
U100761,Premium,7.99,43
U100762,Standard,7.99,8
U100763,Standard,15.99,32
U100764,Standard,7.99,58
U100765,Premium,7.99,14
U100766,Standard,12.99,50
U100767,Premium,12.99,20
U100768,Standard,15.99,24
U100769,Basic,12.99,29
U100770,Standard,15.99,1
U100771,Standard,15.99,10
U100772,Standard,7.99,19
U100773,Premium,7.99,39
U100774,Basic,7.99,45
U100775,Basic,12.99,48
U100776,Premium,12.99,18
U100777,Standard,15.99,55
U100778,Premium,12.99,38
U100779,Premium,15.99,7
U100780,Premium,15.99,24
U100781,Basic,7.99,22
U100782,Basic,12.99,16
U100783,Standard,12.99,6
U100784,Premium,7.99,43
U100785,Premium,12.99,7
U100786,Basic,15.99,18
U100787,Basic,7.99,35
U100788,Standard,15.99,58
U100789,Standard,7.99,49
U100790,Standard,7.99,24
U100791,Premium,12.99,16
U100792,Premium,12.99,19
U100793,Standard,7.99,19
U100794,Standard,15.99,43
U100795,Premium,7.99,1
U100796,Standard,15.99,22
U100797,Basic,12.99,31
U100798,Basic,12.99,14
U100799,Basic,7.99,30
U100800,Standard,12.99,31
U100801,Premium,12.99,51
U100802,Standard,7.99,32
U100803,Premium,12.99,43
U100804,Premium,15.99,52
U100805,Standard,15.99,17
U100806,Basic,12.99,28
U100807,Standard,7.99,34
U100808,Premium,7.99,17
U100809,Basic,15.99,6
U100810,Premium,15.99,48
U100811,Standard,15.99,29
U100812,Standard,7.99,9
U100813,Basic,12.99,31
U100814,Standard,15.99,30
U100815,Premium,12.99,59
U100816,Standard,15.99,9
U100817,Basic,12.99,55
U100818,Standard,12.99,42
U100819,Premium,15.99,10
U100820,Standard,12.99,38
U100821,Standard,7.99,33
U100822,Premium,7.99,3
U100823,Basic,12.99,29
U100824,Basic,7.99,39
U100825,Premium,7.99,53
U100826,Standard,12.99,41
U100827,Basic,15.99,14
U100828,Premium,12.99,15
U100829,Premium,7.99,55
U100830,Premium,12.99,51
U100831,Standard,7.99,10
U100832,Standard,7.99,16
U100833,Premium,12.99,33
U100834,Basic,15.99,28
U100835,Standard,12.99,39
U100836,Standard,15.99,43
U100837,Standard,15.99,24
U100838,Basic,15.99,15
U100839,Basic,15.99,13
U100840,Basic,12.99,19
U100841,Basic,15.99,11
U100842,Standard,12.99,13
U100843,Standard,7.99,40
U100844,Premium,12.99,59
U100845,Basic,15.99,32
U100846,Standard,7.99,54
U100847,Basic,15.99,26
U100848,Basic,7.99,59
U100849,Basic,12.99,42
U100850,Premium,12.99,16
U100851,Premium,12.99,17
U100852,Standard,7.99,49
U100853,Basic,12.99,13
U100854,Premium,7.99,13
U100855,Basic,12.99,15
U100856,Basic,7.99,44
U100857,Basic,15.99,11
U100858,Basic,12.99,1
U100859,Premium,12.99,35
U100860,Basic,7.99,18
U100861,Basic,12.99,44
U100862,Standard,7.99,58
U100863,Basic,7.99,1
U100864,Basic,7.99,22
U100865,Basic,15.99,52
U100866,Standard,7.99,2
U100867,Standard,12.99,30
U100868,Premium,15.99,53
U100869,Standard,15.99,18
U100870,Standard,15.99,1
U100871,Premium,15.99,3
U100872,Standard,7.99,58
U100873,Premium,15.99,10
U100874,Premium,15.99,48
U100875,Premium,15.99,15
U100876,Standard,15.99,3
U100877,Standard,7.99,13
U100878,Basic,7.99,24
U100879,Basic,7.99,39
U100880,Basic,7.99,30
U100881,Standard,15.99,43
U100882,Premium,12.99,32
U100883,Standard,15.99,35
U100884,Standard,7.99,35
U100885,Standard,15.99,55
U100886,Premium,7.99,15
U100887,Standard,7.99,34
U100888,Standard,12.99,39
U100889,Standard,7.99,34
U100890,Premium,12.99,18
U100891,Basic,12.99,35
U100892,Standard,12.99,23
U100893,Premium,12.99,55
U100894,Standard,15.99,32
U100895,Standard,15.99,50
U100896,Standard,12.99,50
U100897,Basic,15.99,19
U100898,Standard,15.99,29
U100899,Premium,12.99,40
U100900,Premium,12.99,50
U100901,Standard,7.99,44
U100902,Premium,15.99,12
U100903,Basic,7.99,4
U100904,Premium,12.99,22
U100905,Premium,7.99,43
U100906,Premium,15.99,45
U100907,Premium,12.99,15
U100908,Premium,7.99,21
U100909,Basic,15.99,42
U100910,Standard,12.99,35
U100911,Basic,15.99,42
U100912,Premium,15.99,19
U100913,Standard,15.99,8
U100914,Standard,15.99,36
U100915,Standard,12.99,15
U100916,Basic,7.99,51
U100917,Standard,12.99,4
U100918,Standard,7.99,25
U100919,Standard,12.99,51
U100920,Premium,7.99,37
U100921,Premium,7.99,26
U100922,Basic,12.99,9
U100923,Standard,15.99,44
U100924,Basic,15.99,55
U100925,Premium,15.99,50
U100926,Basic,12.99,31
U100927,Standard,12.99,6
U100928,Standard,15.99,25
U100929,Standard,15.99,6
U100930,Standard,7.99,19
U100931,Basic,15.99,5
U100932,Standard,7.99,5
U100933,Standard,12.99,59
U100934,Premium,15.99,54
U100935,Standard,12.99,5
U100936,Basic,15.99,49
U100937,Premium,7.99,20
U100938,Standard,12.99,46
U100939,Basic,7.99,48
U100940,Premium,7.99,54
U100941,Basic,12.99,13
U100942,Standard,15.99,9
U100943,Premium,12.99,14
U100944,Premium,12.99,13
U100945,Standard,7.99,47
U100946,Standard,7.99,33
U100947,Premium,12.99,48
U100948,Basic,15.99,23
U100949,Premium,15.99,30
U100950,Basic,7.99,18
U100951,Standard,7.99,18
U100952,Basic,15.99,43
U100953,Premium,15.99,36
U100954,Premium,12.99,14
U100955,Basic,7.99,12
U100956,Premium,7.99,39
U100957,Premium,7.99,27
U100958,Premium,15.99,57
U100959,Standard,7.99,29
U100960,Premium,12.99,7
U100961,Basic,12.99,15
U100962,Basic,15.99,19
U100963,Premium,7.99,9
U100964,Standard,12.99,20
U100965,Premium,15.99,48
U100966,Standard,15.99,44
U100967,Premium,12.99,22
U100968,Standard,12.99,36
U100969,Premium,15.99,32
U100970,Premium,12.99,3
U100971,Standard,7.99,49
U100972,Standard,12.99,18
U100973,Standard,12.99,16
U100974,Standard,12.99,3
U100975,Standard,15.99,12
U100976,Premium,7.99,24
U100977,Standard,15.99,58
U100978,Premium,7.99,11
U100979,Standard,15.99,23
U100980,Standard,15.99,56
U100981,Standard,7.99,33
U100982,Standard,7.99,4
U100983,Standard,15.99,14
U100984,Basic,15.99,38
U100985,Basic,7.99,9
U100986,Standard,7.99,34
U100987,Premium,15.99,46
U100988,Premium,7.99,40
U100989,Standard,12.99,53
U100990,Basic,15.99,33
U100991,Premium,15.99,19
U100992,Standard,15.99,37
U100993,Basic,7.99,3
U100994,Standard,7.99,56
U100995,Premium,12.99,37
