user_id,subscription_type,monthly_fee,account_age_months,primary_device
U100178,Premium,7.99,16,Smart TV
U100179,Standard,15.99,59,Laptop
U100180,Standard,15.99,4,Smart TV
U100181,Premium,15.99,38,Laptop
U100182,Premium,12.99,36,Laptop
U100183,Premium,7.99,33,Smart TV
U100184,Premium,12.99,45,Mobile
U100185,Standard,12.99,45,Tablet
U100186,Premium,7.99,49,Mobile
U100187,Premium,12.99,30,Tablet
U100188,Basic,7.99,45,Smart TV
U100189,Standard,7.99,57,Mobile
U100190,Standard,7.99,11,Mobile
U100191,Basic,15.99,50,Smart TV
U100192,Premium,7.99,47,Tablet
U100193,Basic,15.99,13,Smart TV
U100194,Basic,15.99,55,Laptop
U100195,Standard,15.99,44,Laptop
U100196,Premium,7.99,4,Tablet
U100197,Basic,12.99,24,Smart TV
U100198,Basic,15.99,33,Tablet
U100199,Standard,7.99,33,Tablet
U100200,Premium,12.99,12,Smart TV
U100201,Premium,7.99,21,Mobile
U100202,Basic,15.99,33,Laptop
U100203,Standard,15.99,46,Mobile
U100204,Premium,7.99,33,Mobile
U100205,Basic,7.99,9,Smart TV
U100206,Standard,7.99,31,Smart TV
U100207,Standard,7.99,58,Smart TV
U100208,Premium,12.99,30,Smart TV
U100209,Basic,7.99,16,Laptop
U100210,Standard,15.99,12,Smart TV
U100211,Premium,7.99,54,Laptop
U100212,Standard,7.99,48,Smart TV
U100213,Premium,12.99,9,Laptop
U100214,Premium,15.99,35,Tablet
U100215,Standard,15.99,53,Laptop
U100216,Basic,15.99,43,Smart TV
U100217,Standard,15.99,6,Laptop
U100218,Standard,12.99,25,Laptop
U100219,Basic,7.99,56,Mobile
U100220,Basic,12.99,28,Mobile
U100221,Standard,7.99,23,Tablet
U100222,Premium,12.99,29,Mobile
U100223,Standard,7.99,22,Tablet
U100224,Basic,7.99,58,Mobile
U100225,Premium,15.99,58,Smart TV
U100226,Premium,7.99,24,Mobile
U100227,Basic,15.99,20,Smart TV
U100228,Standard,15.99,27,Mobile
U100229,Basic,15.99,39,Laptop
U100230,Premium,12.99,33,Smart TV
U100231,Basic,12.99,19,Tablet
U100232,Premium,7.99,26,Smart TV
U100233,Basic,7.99,38,Mobile
U100234,Basic,15.99,3,Tablet
U100235,Basic,7.99,23,Laptop
U100236,Premium,12.99,45,Mobile
U100237,Premium,7.99,59,Mobile
U100238,Standard,12.99,27,Laptop
U100239,Premium,15.99,27,Smart TV
U100240,Basic,12.99,10,Mobile
U100241,Standard,15.99,24,Mobile
U100242,Premium,15.99,56,Laptop
U100243,Basic,15.99,49,Laptop
U100244,Standard,12.99,52,Mobile
U100245,Basic,7.99,37,Tablet
U100246,Basic,12.99,41,Mobile
U100247,Standard,15.99,2,Tablet
U100248,Premium,7.99,34,Smart TV
U100249,Basic,15.99,22,Smart TV
U100250,Standard,15.99,49,Mobile
U100251,Premium,7.99,50,Mobile
U100252,Basic,7.99,2,Laptop
U100253,Basic,7.99,28,Laptop
U100254,Standard,7.99,41,Mobile
U100255,Standard,12.99,40,Smart TV
U100256,Basic,12.99,42,Mobile
U100257,Standard,15.99,24,Smart TV
U100258,Basic,12.99,38,Smart TV
U100259,Standard,12.99,40,Smart TV
U100260,Premium,12.99,22,Laptop
U100261,Premium,7.99,3,Tablet
U100262,Standard,15.99,58,Tablet
U100263,Standard,7.99,42,Mobile
U100264,Premium,15.99,37,Tablet
U100265,Premium,12.99,2,Laptop
U100266,Standard,7.99,57,Laptop
U100267,Standard,7.99,23,Smart TV
U100268,Standard,15.99,13,Mobile
U100269,Standard,7.99,15,Tablet
U100270,Standard,12.99,33,Laptop
U100271,Basic,12.99,45,Smart TV
U100272,Standard,15.99,53,Tablet
U100273,Standard,7.99,13,Mobile
U100274,Standard,7.99,20,Laptop
U100275,Premium,7.99,7,Laptop
U100276,Premium,7.99,56,Laptop
U100277,Basic,12.99,13,Laptop
U100278,Standard,12.99,39,Smart TV
U100279,Standard,12.99,4,Mobile
U100280,Basic,7.99,46,Tablet
U100281,Premium,12.99,27,Tablet
U100282,Premium,7.99,32,Tablet
U100283,Basic,7.99,2,Tablet
U100284,Basic,12.99,15,Mobile
U100285,Premium,12.99,5,Smart TV
U100286,Premium,7.99,3,Mobile
U100287,Basic,15.99,16,Tablet
U100288,Standard,7.99,49,Laptop
U100289,Standard,12.99,26,Laptop
U100290,Premium,12.99,6,Mobile
U100291,Basic,12.99,35,Mobile
U100292,Premium,15.99,38,Tablet
U100293,Basic,7.99,20,Smart TV
U100294,Standard,12.99,22,Laptop
U100295,Standard,7.99,21,Mobile
U100296,Premium,12.99,32,Smart TV
U100297,Basic,15.99,1,Mobile
U100298,Basic,15.99,48,Tablet
U100299,Standard,12.99,23,Tablet
U100300,Premium,12.99,18,Smart TV
U100301,Standard,7.99,17,Tablet
U100302,Standard,7.99,37,Smart TV
U100303,Premium,15.99,31,Smart TV
U100304,Standard,15.99,29,Tablet
U100305,Basic,12.99,54,Mobile
U100306,Standard,15.99,13,Smart TV
U100307,Standard,7.99,2,Mobile
U100308,Premium,12.99,9,Smart TV
U100309,Premium,7.99,32,Smart TV
U100310,Standard,15.99,22,Smart TV
U100311,Standard,15.99,42,Laptop
U100312,Standard,7.99,18,Mobile
U100313,Standard,15.99,59,Laptop
U100314,Premium,15.99,18,Laptop
U100315,Basic,12.99,19,Mobile
U100316,Basic,7.99,45,Laptop
U100317,Premium,12.99,38,Laptop
U100318,Basic,7.99,31,Mobile
U100319,Basic,12.99,29,Smart TV
U100320,Basic,15.99,24,Laptop
U100321,Basic,12.99,33,Mobile
U100322,Standard,15.99,50,Laptop
U100323,Basic,12.99,19,Laptop
U100324,Basic,7.99,16,Smart TV
U100325,Standard,7.99,51,Tablet
U100326,Basic,7.99,32,Mobile
U100327,Premium,12.99,21,Mobile
U100328,Basic,12.99,30,Mobile
U100329,Standard,12.99,7,Mobile
U100330,Standard,15.99,38,Tablet
U100331,Standard,12.99,12,Mobile
U100332,Premium,12.99,59,Tablet
U100333,Standard,12.99,28,Tablet
U100334,Basic,12.99,14,Smart TV
U100335,Standard,12.99,7,Mobile
U100336,Premium,12.99,17,Smart TV
U100337,Basic,15.99,23,Mobile
U100338,Premium,7.99,13,Smart TV
U100339,Basic,7.99,20,Smart TV
U100340,Premium,7.99,58,Smart TV
U100341,Basic,12.99,59,Mobile
U100342,Standard,7.99,5,Laptop
U100343,Basic,7.99,6,Laptop
U100344,Standard,12.99,13,Smart TV
U100345,Standard,12.99,42,Laptop
U100346,Standard,15.99,3,Laptop
U100347,Standard,7.99,53,Tablet
U100348,Premium,7.99,31,Smart TV
U100349,Basic,12.99,3,Mobile
U100350,Basic,15.99,8,Laptop
U100351,Premium,15.99,7,Tablet
U100352,Premium,7.99,50,Laptop
U100353,Standard,12.99,46,Smart TV
U100354,Premium,7.99,7,Tablet
U100355,Premium,7.99,11,Tablet
U100356,Premium,12.99,24,Smart TV
U100357,Premium,7.99,59,Tablet
U100358,Standard,12.99,21,Laptop
U100359,Basic,15.99,20,Mobile
U100360,Basic,15.99,29,Laptop
U100361,Standard,15.99,42,Laptop
U100362,Premium,12.99,10,Tablet
U100363,Standard,15.99,49,Mobile
U100364,Standard,7.99,16,Mobile
U100365,Basic,15.99,10,Tablet
U100366,Basic,15.99,38,Smart TV
U100367,Basic,7.99,33,Mobile
U100368,Premium,7.99,58,Tablet
U100369,Premium,12.99,5,Mobile
U100370,Basic,15.99,59,Mobile
U100371,Standard,15.99,12,Laptop
U100372,Basic,7.99,8,Tablet
U100373,Premium,12.99,6,Smart TV
U100374,Standard,12.99,23,Laptop
U100375,Premium,12.99,48,Mobile
U100376,Premium,12.99,42,Smart TV
U100377,Standard,15.99,3,Smart TV
U100378,Basic,12.99,57,Smart TV
U100379,Basic,15.99,38,Smart TV
U100380,Premium,15.99,29,Laptop
U100381,Basic,7.99,34,Mobile
U100382,Basic,12.99,4,Smart TV
U100383,Premium,15.99,7,Laptop
U100384,Standard,7.99,21,Smart TV
U100385,Standard,7.99,44,Smart TV
U100386,Premium,15.99,10,Smart TV
U100387,Premium,12.99,32,Tablet
U100388,Premium,12.99,25,Smart TV
U100389,Standard,15.99,13,Mobile
U100390,Basic,12.99,21,Mobile
U100391,Premium,7.99,19,Tablet
U100392,Standard,15.99,59,Tablet
U100393,Premium,7.99,8,Smart TV
U100394,Standard,15.99,49,Smart TV
U100395,Basic,12.99,40,Laptop
U100396,Standard,15.99,50,Tablet
U100397,Basic,15.99,59,Laptop
U100398,Standard,7.99,20,Mobile
U100399,Standard,12.99,8,Smart TV
U100400,Premium,12.99,16,Laptop
U100401,Standard,7.99,48,Laptop
U100402,Premium,12.99,56,Mobile
U100403,Standard,7.99,28,Tablet
U100404,Standard,15.99,10,Mobile
U100405,Standard,7.99,45,Tablet
U100406,Basic,12.99,21,Laptop
U100407,Standard,12.99,54,Tablet
U100408,Standard,7.99,37,Tablet
U100409,Basic,15.99,44,Laptop
U100410,Standard,15.99,15,Smart TV
U100411,Basic,15.99,6,Tablet
U100412,Standard,12.99,41,Smart TV
U100413,Basic,15.99,35,Mobile
U100414,Standard,15.99,56,Tablet
U100415,Standard,15.99,55,Laptop
U100416,Premium,7.99,21,Mobile
U100417,Standard,7.99,17,Tablet
U100418,Standard,12.99,26,Smart TV
U100419,Standard,12.99,10,Smart TV
U100420,Basic,15.99,34,Smart TV
U100421,Premium,12.99,7,Laptop
U100422,Standard,7.99,32,Tablet
U100423,Premium,7.99,4,Laptop
U100424,Basic,12.99,10,Smart TV
U100425,Standard,7.99,39,Mobile
U100426,Basic,7.99,44,Mobile
U100427,Standard,7.99,15,Mobile
U100428,Basic,15.99,56,Laptop
U100429,Basic,7.99,48,Smart TV
U100430,Basic,15.99,35,Tablet
U100431,Standard,12.99,33,Mobile
U100432,Standard,7.99,25,Laptop
U100433,Premium,7.99,47,Mobile
U100434,Premium,7.99,47,Mobile
U100435,Premium,15.99,11,Smart TV
U100436,Premium,15.99,34,Mobile
U100437,Basic,12.99,36,Mobile
U100438,Premium,12.99,17,Smart TV
U100439,Premium,15.99,12,Smart TV
U100440,Standard,12.99,16,Mobile
U100441,Basic,7.99,33,Mobile
U100442,Basic,15.99,55,Tablet
U100443,Standard,12.99,26,Tablet
U100444,Standard,15.99,10,Laptop
U100445,Premium,15.99,13,Laptop
U100446,Premium,15.99,18,Smart TV
U100447,Basic,12.99,21,Tablet
U100448,Standard,15.99,47,Smart TV
U100449,Standard,12.99,42,Mobile
U100450,Standard,12.99,23,Tablet
U100451,Basic,7.99,47,Laptop
U100452,Standard,7.99,23,Tablet
U100453,Standard,12.99,36,Mobile
U100454,Basic,7.99,5,Laptop
U100455,Basic,12.99,39,Laptop
U100456,Standard,7.99,45,Laptop
U100457,Standard,15.99,15,Laptop
U100458,Premium,12.99,24,Mobile
U100459,Basic,7.99,12,Tablet
U100460,Standard,15.99,19,Tablet
U100461,Premium,15.99,33,Mobile
U100462,Standard,12.99,58,Laptop
U100463,Premium,12.99,25,Laptop
U100464,Standard,12.99,50,Laptop
U100465,Basic,12.99,38,Tablet
U100466,Premium,7.99,13,Laptop
U100467,Standard,7.99,24,Laptop
U100468,Standard,12.99,39,Tablet
U100469,Standard,15.99,3,Mobile
U100470,Basic,15.99,53,Smart TV
U100471,Basic,7.99,12,Smart TV
U100472,Basic,7.99,37,Smart TV
U100473,Standard,15.99,2,Tablet
U100474,Basic,7.99,20,Smart TV
U100475,Standard,15.99,40,Tablet
U100476,Basic,7.99,34,Laptop
U100477,Premium,7.99,22,Smart TV
U100478,Standard,7.99,15,Smart TV
U100479,Standard,15.99,33,Laptop
U100480,Premium,15.99,2,Smart TV
U100481,Standard,15.99,35,Laptop
U100482,Basic,7.99,34,Mobile
U100483,Basic,7.99,27,Tablet
U100484,Basic,7.99,31,Laptop
U100485,Standard,7.99,13,Tablet
U100486,Standard,15.99,53,Laptop
U100487,Standard,7.99,30,Tablet
U100488,Standard,12.99,26,Mobile
U100489,Premium,15.99,24,Tablet
U100490,Basic,15.99,57,Tablet
U100491,Basic,7.99,1,Tablet
U100492,Premium,15.99,51,Tablet
U100493,Basic,7.99,38,Tablet
U100494,Premium,7.99,38,Smart TV
U100495,Premium,7.99,39,Laptop
U100496,Premium,7.99,22,Smart TV
U100497,Premium,15.99,10,Mobile
U100498,Premium,15.99,46,Smart TV
U100499,Standard,7.99,27,Smart TV
U100500,Basic,7.99,42,Smart TV
U100501,Basic,7.99,2,Tablet
U100502,Premium,12.99,58,Tablet
U100503,Basic,7.99,19,Laptop
U100504,Standard,7.99,50,Mobile
U100505,Standard,7.99,52,Mobile
U100506,Basic,12.99,11,Smart TV
U100507,Basic,12.99,47,Smart TV
U100508,Standard,12.99,14,Tablet
U100509,Premium,12.99,57,Mobile
U100510,Premium,7.99,47,Tablet
U100511,Standard,15.99,33,Tablet
U100512,Premium,15.99,44,Laptop
U100513,Premium,7.99,41,Mobile
U100514,Standard,12.99,18,Laptop
U100515,Premium,7.99,29,Tablet
U100516,Standard,12.99,49,Mobile
U100517,Standard,7.99,30,Smart TV
U100518,Premium,7.99,3,Mobile
U100519,Premium,7.99,32,Smart TV
U100520,Standard,12.99,15,Laptop
U100521,Basic,15.99,49,Mobile
U100522,Standard,15.99,23,Mobile
U100523,Standard,7.99,34,Mobile
U100524,Premium,15.99,46,Tablet
U100525,Basic,15.99,41,Smart TV
U100526,Premium,15.99,16,Laptop
U100527,Standard,7.99,50,Smart TV
U100528,Basic,15.99,40,Mobile
U100529,Standard,7.99,6,Smart TV
U100530,Basic,12.99,16,Mobile
U100531,Standard,7.99,46,Mobile
U100532,Standard,7.99,38,Tablet
U100533,Premium,12.99,20,Tablet
U100534,Premium,12.99,49,Mobile
U100535,Standard,15.99,28,Tablet
U100536,Standard,15.99,26,Laptop
U100537,Standard,7.99,56,Tablet
U100538,Basic,7.99,39,Smart TV
U100539,Standard,15.99,48,Smart TV
U100540,Premium,15.99,6,Laptop
U100541,Standard,12.99,53,Smart TV
U100542,Basic,12.99,45,Smart TV
U100543,Basic,12.99,59,Laptop
U100544,Basic,12.99,50,Smart TV
U100545,Premium,7.99,16,Laptop
U100546,Premium,7.99,33,Smart TV
U100547,Basic,7.99,12,Laptop
U100548,Standard,12.99,14,Mobile
U100549,Standard,15.99,39,Laptop
U100550,Standard,7.99,52,Mobile
U100551,Premium,15.99,2,Tablet
U100552,Standard,15.99,13,Laptop
U100553,Standard,12.99,44,Mobile
U100554,Standard,7.99,19,Smart TV
U100555,Standard,15.99,34,Mobile
U100556,Basic,7.99,9,Laptop
U100557,Standard,7.99,31,Smart TV
U100558,Basic,7.99,15,Smart TV
U100559,Premium,7.99,4,Tablet
U100560,Basic,7.99,47,Laptop
U100561,Basic,12.99,46,Tablet
U100562,Premium,7.99,32,Laptop
U100563,Premium,15.99,17,Mobile
U100564,Premium,15.99,5,Laptop
U100565,Basic,7.99,45,Tablet
U100566,Basic,12.99,39,Tablet
U100567,Basic,15.99,33,Mobile
U100568,Basic,15.99,28,Laptop
U100569,Standard,7.99,13,Tablet
U100570,Basic,7.99,4,Smart TV
U100571,Premium,7.99,28,Mobile
U100572,Basic,7.99,13,Mobile
U100573,Standard,15.99,28,Tablet
U100574,Premium,15.99,59,Mobile
U100575,Standard,15.99,45,Mobile
U100576,Premium,7.99,57,Tablet
U100577,Premium,12.99,35,Mobile
U100578,Standard,7.99,40,Laptop
U100579,Standard,7.99,24,Laptop
U100580,Basic,12.99,9,Mobile
U100581,Standard,12.99,7,Smart TV
U100582,Standard,7.99,37,Mobile
U100583,Standard,15.99,58,Smart TV
U100584,Basic,15.99,36,Smart TV
U100585,Premium,7.99,22,Smart TV
U100586,Basic,12.99,3,Laptop
U100587,Standard,7.99,8,Smart TV
U100588,Standard,12.99,4,Laptop
U100589,Basic,15.99,43,Mobile
U100590,Basic,7.99,42,Smart TV
U100591,Standard,12.99,2,Mobile
U100592,Premium,12.99,53,Smart TV
U100593,Standard,12.99,46,Laptop
U100594,Premium,15.99,40,Laptop
U100595,Premium,15.99,6,Tablet
U100596,Standard,15.99,57,Mobile
U100597,Standard,12.99,22,Tablet
U100598,Standard,12.99,3,Tablet
U100599,Premium,7.99,17,Mobile
U100600,Basic,7.99,10,Smart TV
U100601,Standard,12.99,24,Smart TV
U100602,Standard,15.99,47,Tablet
U100603,Standard,7.99,40,Laptop
U100604,Standard,15.99,39,Mobile
U100605,Premium,12.99,28,Laptop
U100606,Basic,7.99,39,Mobile
U100607,Premium,7.99,45,Tablet
U100608,Premium,12.99,30,Smart TV
U100609,Standard,15.99,28,Tablet
U100610,Premium,12.99,4,Tablet
U100611,Basic,15.99,18,Laptop
U100612,Premium,7.99,39,Mobile
U100613,Standard,7.99,3,Mobile
U100614,Standard,15.99,46,Smart TV
U100615,Standard,7.99,1,Tablet
U100616,Premium,7.99,33,Mobile
U100617,Premium,12.99,16,Smart TV
U100618,Basic,7.99,46,Laptop
U100619,Basic,12.99,30,Tablet
U100620,Standard,12.99,58,Tablet
U100621,Premium,7.99,40,Smart TV
U100622,Standard,7.99,55,Tablet
U100623,Basic,7.99,33,Mobile
U100624,Standard,7.99,36,Smart TV
U100625,Premium,12.99,31,Tablet
U100626,Basic,7.99,36,Smart TV
U100627,Standard,15.99,36,Tablet
U100628,Basic,7.99,47,Mobile
U100629,Standard,15.99,48,Smart TV
U100630,Basic,12.99,10,Smart TV
U100631,Standard,15.99,22,Smart TV
U100632,Premium,15.99,28,Laptop
U100633,Standard,12.99,36,Smart TV
U100634,Standard,7.99,32,Laptop
U100635,Premium,12.99,46,Mobile
U100636,Basic,15.99,13,Tablet
U100637,Standard,15.99,34,Mobile
U100638,Premium,7.99,1,Tablet
U100639,Standard,12.99,16,Tablet
U100640,Standard,15.99,27,Tablet
U100641,Standard,12.99,22,Mobile
U100642,Basic,7.99,31,Mobile
U100643,Standard,12.99,48,Mobile
U100644,Premium,12.99,29,Tablet
U100645,Premium,12.99,22,Laptop
U100646,Basic,15.99,7,Tablet
U100647,Standard,12.99,55,Mobile
U100648,Basic,15.99,40,Smart TV
U100649,Premium,7.99,4,Tablet
U100650,Premium,12.99,14,Smart TV
U100651,Standard,12.99,43,Smart TV
U100652,Basic,15.99,57,Mobile
U100653,Standard,12.99,17,Smart TV
U100654,Standard,15.99,1,Tablet
U100655,Standard,15.99,49,Smart TV
U100656,Standard,7.99,2,Smart TV
U100657,Basic,12.99,18,Laptop
U100658,Standard,7.99,3,Smart TV
U100659,Premium,12.99,56,Smart TV
U100660,Premium,15.99,21,Tablet
U100661,Premium,15.99,13,Tablet
U100662,Premium,15.99,49,Mobile
U100663,Standard,15.99,47,Smart TV
U100664,Basic,7.99,27,Mobile
U100665,Basic,7.99,58,Smart TV
U100666,Basic,7.99,3,Laptop
U100667,Standard,15.99,5,Tablet
U100668,Premium,15.99,57,Smart TV
U100669,Premium,7.99,37,Tablet
U100670,Premium,7.99,38,Tablet
U100671,Basic,7.99,48,Smart TV
U100672,Premium,15.99,2,Laptop
U100673,Standard,7.99,30,Smart TV
U100674,Standard,12.99,6,Smart TV
U100675,Premium,7.99,27,Laptop
U100676,Standard,7.99,13,Laptop
U100677,Premium,15.99,5,Mobile
U100678,Basic,7.99,52,Smart TV
U100679,Standard,12.99,58,Tablet
U100680,Premium,7.99,25,Laptop
U100681,Premium,15.99,56,Mobile
U100682,Basic,7.99,27,Mobile
U100683,Standard,15.99,16,Smart TV
U100684,Basic,12.99,48,Tablet
U100685,Standard,7.99,7,Smart TV
U100686,Premium,7.99,52,Smart TV
U100687,Standard,15.99,43,Tablet
U100688,Standard,15.99,3,Mobile
U100689,Standard,12.99,15,Mobile
U100690,Premium,15.99,17,Tablet
U100691,Premium,12.99,3,Laptop
U100692,Standard,15.99,2,Tablet
U100693,Standard,7.99,46,Mobile
U100694,Standard,15.99,5,Smart TV
U100695,Basic,15.99,24,Mobile
U100696,Premium,15.99,31,Laptop
U100697,Basic,7.99,36,Mobile
U100698,Standard,12.99,44,Laptop
U100699,Basic,7.99,7,Laptop
U100700,Premium,12.99,25,Smart TV
U100701,Standard,15.99,43,Mobile
U100702,Premium,7.99,20,Mobile
U100703,Premium,15.99,53,Tablet
U100704,Standard,7.99,25,Smart TV
U100705,Standard,7.99,2,Laptop
U100706,Premium,15.99,2,Smart TV
U100707,Standard,7.99,10,Smart TV
U100708,Premium,12.99,50,Tablet
U100709,Basic,15.99,49,Tablet
U100710,Standard,12.99,6,Tablet
U100711,Standard,15.99,11,Mobile
U100712,Standard,15.99,49,Smart TV
U100713,Basic,15.99,29,Laptop
U100714,Basic,15.99,30,Mobile
U100715,Premium,15.99,21,Laptop
U100716,Standard,12.99,27,Smart TV
U100717,Premium,12.99,47,Laptop
U100718,Basic,7.99,42,Smart TV
U100719,Premium,12.99,36,Tablet
U100720,Basic,15.99,45,Mobile
U100721,Basic,15.99,33,Tablet
U100722,Standard,15.99,47,Laptop
